stop_id;STOP_NAME
TRN:SA:DUA8754565;AUNEAU
TRN:SA:DUA8731351;BEAUVAIS
TRN:SA:DUA8744895;BEAUVAIS TILLE AEROPORT
TRN:SA:DUA8754573;BONNEVAL
TRN:SA:DUA8727644;BORAN-SUR-OISE
TRN:SA:DUA8738709;BUEIL
TRN:SA:DUA8768312;CHAMPIGNY
TRN:SA:DUA8727611;CHANTILLY - GOUVIEUX
TRN:SA:DUA8739400;CHARTRES
TRN:SA:DUA8738122;CHAUMONT-EN-VEXIN
TRN:SA:DUA8711658;CHATEAU-THIERRY
TRN:SA:DUA8754575;CHATEAUDUN
TRN:SA:DUA8711657;CHEZY-SUR-MARNE
TRN:SA:DUA8727211;COURTEUIL
TRN:SA:DUA8727600;CREIL
TRN:SA:DUA8727159;CREPY-EN-VALOIS
TRN:SA:DUA8768423;DORDIVES
TRN:SA:DUA8739348;DREUX
TRN:SA:DUA8768424;FERRIERES-EN-GATINAIS - FONTENAY-SUR-LOING
TRN:SA:DUA8738124;GISORS
TRN:SA:DUA8768324;JOIGNY
TRN:SA:DUA8739415;JOUY
TRN:SA:DUA8727628;LA BORNE BLANCHE
TRN:SA:DUA8711667;LA FERTE-MILON
TRN:SA:DUA8739417;LA VILLETTE SAINT-PREST
TRN:SA:DUA8768326;LAROCHE-SAINT-CYDROINE - MIGENNES
TRN:SA:DUA8738120;LAVILLETERTRE
TRN:SA:DUA8727155;LE PLESSIS-BELLEVILLE
TRN:SA:DUA8738121;LIANCOURT-SAINT-PIERRE
TRN:SA:DUA8739413;MAINTENON
TRN:SA:DUA8768441;MALESHERBES
TRN:SA:DUA8739347;MARCHEZAIS - BROUE
TRN:SA:DUA8711666;MAREUIL-SUR-OURCQ
TRN:SA:DUA8768400;MONTARGIS
TRN:SA:DUA8727157;NANTEUIL-LE-HAUDOUIN
TRN:SA:DUA8711656;NOGENT-L'ARTAUD - CHARLY
TRN:SA:DUA8727158;ORMOY-VILLERS
TRN:SA:DUA8727627;ORRY-LA-VILLE - COYE-LA-FORET
TRN:SA:DUA8768313;PONT-SUR-YONNE
TRN:SA:DUA8727641;PRECY-SUR-OISE
TRN:SA:DUA8768322;SAINT-JULIEN-DU-SAULT
TRN:SA:DUA8727640;SAINT-LEU-D'ESSERENT
TRN:SA:DUA8739414;SAINT-PIAT
TRN:SA:DUA8727166;SENLIS
TRN:SA:DUA8768300;SENS
TRN:SA:DUA8738123;TRIE-CHATEAU
TRN:SA:DUA8741560;VERNON
TRN:SA:DUA8768310;VILLENEUVE-LA-GUYARD
TRN:SA:DUA8768321;VILLENEUVE-SUR-YONNE
TRN:SA:DUA8727210;VINEUIL SAINT-FIRMIN
TRN:SA:DUA8754570;VOVES
TRN:SA:DUA8739411;EPERNON
TRN:SA:DUA8768320;ETIGNY - VERON
TRN:SA:DUA8738700;EVREUX NORMANDIE
RTP:SA:3749882;ABBE GROULT
RTP:SA:2037;ABBESSES
RTP:SA:3749655;ABREUVOIR - GIRARDON
RTP:SA:3813320;ADRIENNE BOLLAND
RTP:SA:3740529;ALBERT DE MUN
RTP:SA:3747971;ALBERT KAHN
RTP:SA:3690058;ALBERT MARQUET
RTP:SA:3442461;ALESIA - DIDOT
RTP:SA:3442443;ALESIA - LES PLANTES
RTP:SA:3754210;ALESIA - RENE COTY
RTP:SA:3813546;ALEXANDRA DAVID-NEEL
RTP:SA:2041;ALEXANDRE-DUMAS
RTP:SA:3740545;ALFRED CAPUS
RTP:SA:3747919;ALIBERT
RTP:SA:3764453;ALLERAY
RTP:SA:3764455;ALLERAY-LA QUINTINIE
RTP:SA:3765228;ALMA - MARCEAU
RTP:SA:2043;ALMA-MARCEAU
RTP:SA:3813008;ALPHAND
RTP:SA:2040;ALESIA
RTP:SA:3764536;AMIRAL MOUCHEZ
RTP:SA:3764838;AMIRAL MOUCHEZ - CHARBONNEL
RTP:SA:3813032;ANDRE MAUROIS
RTP:SA:3765445;ANJOU - CHAUVEAU LAGARDE
RTP:SA:2046;ANVERS
RTP:SA:3747874;ARCHIVES - HAUDRIETTES
RTP:SA:3747829;ARCHIVES - RAMBUTEAU
RTP:SA:2048;ARGENTINE
RTP:SA:3749756;ARMAND CARREL - MAIRIE DU 19E
RTP:SA:3764965;ARMORIQUE - MUSEE POSTAL
RTP:SA:3764448;ARMORIQUE-PASTEUR
RTP:SA:4726929;ARTS ET METIERS
RTP:SA:2050;ARTS-ET-METIERS
